transaction_id,customer_id,transaction_date,product,category,quantity,unit_price,discount_pct,amount,city
T0036,CUST075,2026-06-22,Headphones,Electronics,2,2500,15.0,4250.0,Bengaluru
T0037,CUST028,2026-03-14,Smartphone,Electronics,2,28000,0.0,56000.0,Bengaluru
T0038,CUST066,2026-06-22,Backpack,Accessories,3,1600,5.0,4560.0,Delhi
T0039,CUST040,2026-03-04,T-Shirt,Fashion,1,900,0.0,900.0,Bengaluru
T0040,CUST061,2026-06-11,Backpack,Accessories,2,1600,15.0,2720.0,Jaipur
T0041,CUST074,2026-03-04,Backpack,Accessories,1,1600,15.0,1360.0,Jaipur
T0042,CUST019,2026-02-26,Coffee Maker,Home,2,4500,15.0,7650.0,Bengaluru
T0043,CUST023,2026-05-23,Backpack,Accessories,3,1600,0.0,4800.0,Patna
T0044,CUST032,2026-06-20,Backpack,Accessories,3,1600,15.0,4080.0,Mumbai
T0045,CUST068,2026-05-10,Headphones,Electronics,4,2500,20.0,8000.0,Patna
T0046,CUST055,2026-04-26,Coffee Maker,Home,2,4500,15.0,7650.0,Patna
T0047,CUST034,2026-05-05,Jeans,Fashion,3,1800,20.0,4320.0,Jaipur
T0048,CUST031,2026-03-11,Headphones,Electronics,1,2500,5.0,2375.0,Patna
T0049,CUST043,2026-03-01,Coffee Maker,Home,1,4500,5.0,4275.0,Lucknow
T0050,CUST050,2026-04-15,Headphones,Electronics,3,2500,15.0,6375.0,Lucknow
T0051,CUST043,2026-04-10,Coffee Maker,Home,1,4500,15.0,3825.0,Lucknow
T0052,CUST075,2026-05-03,Smartphone,Electronics,3,28000,15.0,71400.0,Bengaluru
T0053,CUST001,2026-05-18,Headphones,Electronics,3,2500,15.0,6375.0,Delhi
T0054,CUST070,2026-03-11,Backpack,Accessories,3,1600,5.0,4560.0,Jaipur
T0055,CUST056,2026-04-30,Office Chair,Home,1,8500,5.0,8075.0,Bengaluru
T0056,CUST017,2026-05-25,Watch,Accessories,2,5500,20.0,8800.0,Delhi
T0057,CUST004,2026-01-13,Headphones,Electronics,1,2500,5.0,2375.0,Patna
T0058,CUST034,2026-04-08,Office Chair,Home,2,8500,10.0,15300.0,Jaipur
T0059,CUST036,2026-05-01,Jeans,Fashion,2,1800,0.0,3600.0,Kolkata
T0060,CUST003,2026-06-16,Headphones,Electronics,2,2500,5.0,4750.0,Delhi
T0061,CUST009,2026-02-21,Laptop,Electronics,3,65000,5.0,185250.0,Mumbai
T0062,CUST003,2026-05-25,Headphones,Electronics,2,2500,0.0,5000.0,Delhi
T0063,CUST028,2026-06-05,Office Chair,,1,8500,5.0,8075.0,Bengaluru
T0064,CUST015,2026-05-29,Headphones,Electronics,2,2500,0.0,5000.0,Delhi
T0065,CUST004,2026-02-20,Headphones,Electronics,2,2500,15.0,4250.0,Patna
T0066,CUST010,2026-06-28,T-Shirt,Fashion,1,900,0.0,900.0,Lucknow
T0067,CUST039,2026-01-11,Coffee Maker,Home,3,4500,20.0,10800.0,Delhi
T0068,CUST045,2026-06-15,Headphones,Electronics,2,2500,20.0,4000.0,Jaipur
T0069,CUST044,2026-04-21,Headphones,Electronics,1,2500,0.0,2500.0,Bengaluru
T0070,CUST047,2026-02-15,Smartphone,Electronics,2,28000,15.0,47600.0,Mumbai
T0071,CUST067,2026-04-30,Smartphone,Electronics,3,28000,15.0,71400.0,Delhi
T0072,CUST056,2026-01-23,Office Chair,Home,2,8500,5.0,16150.0,Bengaluru
T0073,CUST036,2026-06-06,Office Chair,Home,2,8500,20.0,13600.0,Kolkata
T0074,CUST049,2026-05-05,Office Chair,Home,1,8500,5.0,8075.0,Bengaluru
T0075,CUST028,2026-06-29,Office Chair,Home,1,8500,20.0,6800.0,Bengaluru
T0076,CUST036,2026-03-03,Coffee Maker,Home,1,4500,0.0,4500.0,Kolkata
T0077,CUST053,2026-04-25,Backpack,Accessories,1,1600,15.0,1360.0,Bengaluru
T0078,CUST003,2026-03-20,Smartphone,Electronics,1,28000,5.0,26600.0,Delhi
T0079,CUST075,2026-05-21,Headphones,Electronics,1,2500,15.0,2125.0,Bengaluru
T0080,CUST043,2026-03-01,Office Chair,Home,1,8500,10.0,7650.0,Lucknow
T0081,CUST016,2026-06-26,Smartphone,Electronics,3,28000,20.0,67200.0,Kolkata
T0082,CUST024,2026-05-15,Jeans,Fashion,1,1800,20.0,1440.0,Lucknow
T0083,CUST037,2026-04-03,Jeans,Fashion,3,1800,5.0,5130.0,Pune
T0084,CUST023,2026-01-12,Smartphone,Electronics,2,28000,10.0,50400.0,Patna
T0085,CUST007,2026-01-27,Smartphone,Electronics,2,28000,15.0,47600.0,Kolkata
T0086,CUST002,2026-02-17,Jeans,Fashion,1,1800,10.0,1620.0,Bengaluru
T0087,CUST007,2026-04-13,Headphones,Electronics,1,2500,0.0,2500.0,Kolkata
T0088,CUST063,2026-02-08,Laptop,Electronics,1,65000,5.0,61750.0,Lucknow
T0089,CUST073,2026-05-23,Coffee Maker,Home,3,4500,0.0,13500.0,Jaipur
T0090,CUST054,2026-04-08,T-Shirt,Fashion,1,900,20.0,720.0,Patna
T0091,CUST058,2026-03-20,Sneakers,Fashion,3,3200,15.0,8160.0,Jaipur
T0092,CUST073,2026-06-10,Coffee Maker,Home,2,4500,5.0,8550.0,Jaipur
T0093,CUST028,2026-05-22,Coffee Maker,Home,1,4500,5.0,4275.0,Bengaluru
T0094,CUST010,2026-05-01,Smartphone,Electronics,1,28000,20.0,22400.0,Lucknow
T0095,CUST038,2026-01-19,Jeans,Fashion,1,1800,15.0,1530.0,Kolkata
T0096,CUST030,2026-04-19,Office Chair,Home,2,8500,5.0,16150.0,Mumbai
T0097,CUST015,2026-01-19,Headphones,Electronics,2,2500,5.0,4750.0,Delhi
T0098,CUST008,2026-02-01,Watch,Accessories,1,5500,15.0,4675.0,Mumbai
T0099,CUST060,2026-05-19,Jeans,Fashion,2,1800,20.0,2880.0,Pune
T0100,CUST064,2026-06-04,Watch,Accessories,1,5500,10.0,4950.0,Bengaluru
T0101,CUST033,2026-05-28,Backpack,Accessories,1,1600,10.0,1440.0,Pune
T0102,CUST006,2026-03-13,Sneakers,Fashion,2,3200,15.0,5440.0,Pune
T0103,CUST024,2026-05-01,Watch,Accessories,2,5500,0.0,11000.0,Lucknow
T0104,CUST045,2026-03-26,Laptop,Electronics,2,65000,5.0,123500.0,Jaipur
T0105,CUST053,2026-01-10,Jeans,Fashion,1,1800,20.0,1440.0,Bengaluru
T0106,CUST059,2026-05-12,T-Shirt,Fashion,1,900,15.0,765.0,Pune
T0107,CUST001,2026-02-18,Headphones,Electronics,2,2500,,,Delhi
T0108,CUST067,2026-02-22,Backpack,Accessories,1,1600,0.0,1600.0,Delhi
T0109,CUST035,2026-02-01,Backpack,Accessories,2,1600,15.0,2720.0,Patna
T0110,CUST004,2026-03-21,Laptop,Electronics,2,65000,5.0,123500.0,Patna
T0111,CUST071,2026-04-29,T-Shirt,Fashion,1,900,0.0,900.0,Patna
T0112,CUST016,2026-05-11,Smartphone,Electronics,3,28000,10.0,75600.0,Kolkata
T0113,CUST035,2026-04-27,Headphones,Electronics,1,2500,5.0,2375.0,Patna
T0114,CUST071,2026-02-04,Sneakers,Fashion,1,3200,20.0,2560.0,Patna
T0115,CUST009,2026-05-10,Coffee Maker,Home,2,4500,10.0,8100.0,Mumbai
T0116,CUST035,2026-05-29,Headphones,Electronics,2,2500,20.0,4000.0,Patna
T0117,CUST063,2026-03-27,Headphones,Electronics,2,2500,10.0,4500.0,Lucknow
T0118,CUST071,2026-06-28,Jeans,Fashion,2,1800,5.0,3420.0,Patna
T0119,CUST031,2026-03-23,Headphones,Electronics,1,2500,0.0,2500.0,Patna
T0120,CUST061,2026-05-07,Coffee Maker,Home,2,4500,5.0,8550.0,Jaipur
T0121,CUST005,2026-04-23,Sneakers,Fashion,1,3200,0.0,3200.0,Bengaluru
T0122,CUST013,2026-06-17,Backpack,Accessories,1,1600,15.0,1360.0,Delhi
T0123,CUST020,2026-06-09,Jeans,Fashion,1,1800,10.0,1620.0,Delhi
T0124,CUST051,2026-03-23,Watch,Accessories,1,5500,15.0,4675.0,Jaipur
T0125,CUST063,2026-06-11,Laptop,Electronics,2,65000,5.0,123500.0,Lucknow
T0126,CUST037,2026-06-12,Coffee Maker,Home,3,4500,0.0,13500.0,Pune
T0127,CUST013,2026-03-25,Laptop,Electronics,1,65000,0.0,65000.0,Delhi
T0128,CUST008,2026-05-16,Backpack,Accessories,1,1600,5.0,1520.0,Mumbai
T0129,CUST053,2026-01-21,Smartphone,Electronics,1,28000,5.0,26600.0,Bengaluru
T0130,CUST049,2026-04-29,Coffee Maker,Home,2,4500,5.0,8550.0,Bengaluru
T0131,CUST033,2026-06-23,Backpack,Accessories,1,1600,10.0,1440.0,Pune
T0132,CUST070,2026-03-18,Jeans,Fashion,1,1800,20.0,1440.0,Jaipur
T0133,CUST055,2026-04-09,Office Chair,Home,1,8500,5.0,8075.0,Patna
T0134,CUST062,2026-03-17,Headphones,Electronics,1,2500,20.0,2000.0,Delhi
T0135,CUST038,2026-01-03,Coffee Maker,Home,1,4500,10.0,4050.0,Kolkata
T0136,CUST073,2026-05-08,Laptop,Electronics,2,65000,20.0,104000.0,Jaipur
T0137,CUST037,2026-06-12,Jeans,Fashion,2,1800,5.0,3420.0,Pune
T0138,CUST025,2026-06-10,Smartphone,Electronics,1,28000,0.0,28000.0,Bengaluru
T0139,CUST006,2026-02-03,Sneakers,Fashion,1,3200,10.0,2880.0,Pune
T0140,CUST012,2026-02-21,Headphones,Electronics,3,2500,5.0,7125.0,Kolkata
T0141,CUST017,2026-05-09,Sneakers,Fashion,2,3200,20.0,5120.0,
T0142,CUST035,2026-03-28,Headphones,Electronics,2,2500,10.0,4500.0,Patna
T0143,CUST015,2026-05-23,Laptop,Electronics,1,65000,15.0,55250.0,Delhi
T0144,CUST047,2026-02-01,Office Chair,Home,1,8500,20.0,6800.0,Mumbai
T0145,CUST059,2026-04-08,Jeans,Fashion,1,1800,20.0,1440.0,Pune
T0146,CUST048,2026-05-24,T-Shirt,Fashion,1,900,20.0,720.0,Pune
T0147,CUST042,2026-06-29,Laptop,Electronics,2,65000,15.0,110500.0,Jaipur
T0148,CUST039,2026-03-19,Coffee Maker,,3,4500,0.0,13500.0,Delhi
T0149,CUST064,2026-04-27,Backpack,Accessories,1,1600,15.0,1360.0,Bengaluru
T0150,CUST048,2026-05-31,Watch,Accessories,3,5500,15.0,14025.0,Pune
T0151,CUST020,2026-04-15,Backpack,Accessories,2,1600,20.0,2560.0,Delhi
T0152,CUST036,2026-03-02,Office Chair,Home,1,8500,15.0,7225.0,Kolkata
T0153,CUST047,2026-01-16,Watch,Accessories,1,5500,10.0,4950.0,Mumbai
T0154,CUST051,2026-06-19,Backpack,Accessories,1,1600,0.0,1600.0,Jaipur
T0155,CUST028,2026-03-27,Coffee Maker,Home,2,4500,0.0,9000.0,Bengaluru
T0156,CUST032,2026-05-22,T-Shirt,Fashion,3,900,0.0,2700.0,Mumbai
T0157,CUST027,2026-02-07,T-Shirt,Fashion,1,900,10.0,810.0,Jaipur
T0158,CUST001,2026-03-06,Smartphone,Electronics,1,28000,20.0,22400.0,Delhi
T0159,CUST023,2026-04-02,Smartphone,Electronics,1,28000,0.0,28000.0,Patna
T0160,CUST031,2026-02-02,Headphones,Electronics,1,2500,0.0,2500.0,Patna
T0161,CUST054,2026-04-03,Backpack,Accessories,1,1600,15.0,1360.0,Patna
T0162,CUST066,2026-01-12,Backpack,Accessories,2,1600,20.0,2560.0,Delhi
T0163,CUST067,2026-05-03,Laptop,Electronics,1,65000,,,Delhi
T0164,CUST052,2026-01-21,Office Chair,Home,1,8500,0.0,8500.0,Delhi
T0165,CUST042,2026-06-12,Headphones,Electronics,1,2500,20.0,2000.0,Jaipur
T0166,CUST075,2026-03-17,Smartphone,Electronics,2,28000,20.0,44800.0,Bengaluru
T0167,CUST059,2026-06-17,Sneakers,Fashion,1,3200,0.0,3200.0,Pune
T0168,CUST071,2026-04-16,Jeans,Fashion,2,1800,5.0,3420.0,Patna
T0169,CUST044,2026-03-22,Smartphone,Electronics,2,28000,0.0,56000.0,Bengaluru
T0170,CUST055,2026-01-18,Coffee Maker,Home,1,4500,15.0,3825.0,Patna
T0171,CUST012,2026-02-03,Laptop,Electronics,2,65000,10.0,117000.0,Kolkata
T0172,CUST072,2026-06-21,Watch,Accessories,1,5500,10.0,4950.0,Pune
T0173,CUST016,2026-03-15,Coffee Maker,Home,2,4500,0.0,9000.0,Kolkata
T0174,CUST040,2026-06-18,T-Shirt,Fashion,1,900,5.0,855.0,Bengaluru
T0175,CUST062,2026-01-30,Smartphone,Electronics,1,28000,10.0,25200.0,Delhi
T0176,CUST036,2026-06-07,Watch,Accessories,1,5500,20.0,4400.0,Kolkata
T0177,CUST072,2026-02-16,Jeans,Fashion,1,1800,0.0,1800.0,Pune
T0178,CUST035,2026-01-02,Headphones,Electronics,2,2500,10.0,4500.0,Patna
T0179,CUST024,2026-02-06,Watch,Accessories,2,5500,0.0,11000.0,
T0180,CUST004,2026-04-27,Headphones,Electronics,1,2500,15.0,2125.0,Patna
T0181,CUST044,2026-06-02,Headphones,Electronics,1,2500,20.0,2000.0,Bengaluru
T0182,CUST011,2026-03-11,Coffee Maker,Home,3,4500,0.0,13500.0,Delhi
T0183,CUST057,2026-03-11,Jeans,Fashion,2,1800,15.0,3060.0,Bengaluru
T0184,CUST028,2026-03-14,Office Chair,Home,2,8500,0.0,17000.0,Bengaluru
T0185,CUST063,2026-06-03,Laptop,Electronics,1,65000,15.0,55250.0,Lucknow
T0186,CUST008,2026-03-07,Backpack,Accessories,1,1600,5.0,1520.0,Mumbai
T0187,CUST038,2026-02-14,Sneakers,Fashion,1,3200,15.0,2720.0,Kolkata
T0188,CUST017,2026-06-21,Watch,Accessories,1,5500,20.0,4400.0,Delhi
T0189,CUST046,2026-01-05,Laptop,Electronics,1,65000,15.0,55250.0,Mumbai
T0190,CUST059,2026-05-27,Office Chair,Home,2,8500,15.0,14450.0,Pune
T0191,CUST052,2026-01-06,Coffee Maker,Home,1,4500,15.0,3825.0,Delhi
T0192,CUST042,2026-01-23,Backpack,Accessories,1,1600,10.0,1440.0,Jaipur
T0193,CUST056,2026-01-21,Office Chair,Home,2,8500,20.0,13600.0,Bengaluru
T0194,CUST051,2026-02-13,T-Shirt,Fashion,2,900,10.0,1620.0,Jaipur
T0195,CUST010,2026-03-31,Smartphone,Electronics,1,28000,5.0,26600.0,Lucknow
T0196,CUST045,2026-01-27,Smartphone,Electronics,3,28000,5.0,79800.0,Jaipur
T0197,CUST019,2026-02-15,Coffee Maker,Home,1,4500,0.0,4500.0,Bengaluru
T0198,CUST064,2026-06-14,Watch,Accessories,1,5500,20.0,4400.0,Bengaluru
T0199,CUST042,2026-01-18,Laptop,Electronics,2,65000,15.0,110500.0,Jaipur
T0200,CUST061,2026-01-15,Headphones,Electronics,1,2500,20.0,2000.0,Jaipur
T0201,CUST046,2026-01-15,Jeans,Fashion,2,1800,0.0,3600.0,Mumbai
T0202,CUST048,2026-06-02,T-Shirt,Fashion,3,900,20.0,2160.0,Pune
T0203,CUST065,2026-05-27,Coffee Maker,Home,1,4500,15.0,3825.0,Mumbai
T0204,CUST025,2026-04-26,Coffee Maker,Home,1,4500,0.0,4500.0,Bengaluru
T0205,CUST014,2026-06-15,Headphones,Electronics,2,2500,20.0,4000.0,Kolkata
T0206,CUST023,2026-05-14,Backpack,Accessories,1,1600,20.0,1280.0,Patna
T0207,CUST021,2026-03-28,Coffee Maker,Home,1,4500,15.0,3825.0,Bengaluru
T0208,CUST007,2026-01-25,Laptop,Electronics,2,65000,10.0,117000.0,Kolkata
T0209,CUST072,2026-01-21,Coffee Maker,Home,3,4500,10.0,12150.0,Pune
T0210,CUST075,2026-02-03,Jeans,Fashion,2,1800,15.0,3060.0,Bengaluru
T0211,CUST011,2026-06-21,Office Chair,Home,2,8500,5.0,16150.0,Delhi
T0212,CUST068,2026-01-05,Watch,Accessories,1,5500,10.0,4950.0,Patna
T0213,CUST047,2026-02-19,Sneakers,Fashion,1,3200,15.0,2720.0,Mumbai
T0214,CUST029,2026-05-10,Watch,Accessories,3,5500,0.0,16500.0,Pune
T0215,CUST070,2026-06-08,Laptop,Electronics,3,65000,10.0,175500.0,Jaipur
T0216,CUST017,2026-02-12,Backpack,Accessories,1,1600,20.0,1280.0,Delhi
T0217,CUST057,2026-04-24,Sneakers,Fashion,1,3200,5.0,3040.0,Bengaluru
T0218,CUST037,2026-03-03,T-Shirt,Fashion,2,900,20.0,1440.0,Pune
T0219,CUST040,2026-06-23,T-Shirt,Fashion,3,900,10.0,2430.0,Bengaluru
T0220,CUST074,2026-05-09,Jeans,Fashion,2,1800,15.0,3060.0,Jaipur
T0221,CUST068,2026-02-05,Laptop,Electronics,2,65000,20.0,104000.0,Patna
T0222,CUST033,2026-01-27,Watch,Accessories,1,5500,20.0,4400.0,Pune
T0223,CUST067,2026-04-26,Laptop,Electronics,2,65000,10.0,117000.0,Delhi
T0224,CUST066,2026-03-31,Backpack,Accessories,1,1600,15.0,1360.0,Delhi
T0225,CUST004,2026-04-09,Headphones,Electronics,1,2500,5.0,2375.0,Patna
T0226,CUST011,2026-02-07,Coffee Maker,Home,2,4500,10.0,8100.0,Delhi
T0227,CUST018,2026-06-30,Backpack,Accessories,1,1600,5.0,1520.0,Lucknow
T0228,CUST061,2026-03-07,Laptop,Electronics,1,65000,0.0,65000.0,Jaipur
T0229,CUST028,2026-03-15,Office Chair,Home,2,8500,0.0,17000.0,Bengaluru
T0230,CUST031,2026-04-28,Headphones,Electronics,1,2500,20.0,2000.0,Patna
T0231,CUST009,2026-01-05,Office Chair,Home,1,8500,20.0,6800.0,Mumbai
T0232,CUST066,2026-01-01,Jeans,Fashion,2,1800,15.0,3060.0,Delhi
T0233,CUST046,2026-05-15,Sneakers,Fashion,1,3200,0.0,3200.0,Mumbai
T0234,CUST047,2026-05-01,Coffee Maker,Home,1,4500,15.0,3825.0,Mumbai
T0235,CUST006,2026-04-02,Jeans,Fashion,2,1800,0.0,3600.0,Pune
T0236,CUST009,2026-03-27,Headphones,Electronics,2,2500,20.0,4000.0,Mumbai
T0237,CUST018,2026-06-25,Sneakers,Fashion,1,3200,5.0,3040.0,Lucknow
T0238,CUST060,2026-01-17,Coffee Maker,Home,3,4500,5.0,12825.0,Pune
T0239,CUST059,2026-03-22,T-Shirt,Fashion,1,900,0.0,900.0,Pune
T0240,CUST040,2026-03-06,Watch,Accessories,2,5500,15.0,9350.0,Bengaluru
T0241,CUST005,2026-06-17,Headphones,Electronics,2,2500,0.0,5000.0,Bengaluru
T0242,CUST043,2026-04-23,Coffee Maker,Home,1,4500,15.0,3825.0,Lucknow
T0243,CUST050,2026-05-13,Watch,Accessories,2,5500,10.0,9900.0,Lucknow
T0244,CUST035,2026-06-04,Headphones,Electronics,2,2500,15.0,4250.0,Patna
T0245,CUST024,2026-06-19,Backpack,Accessories,1,1600,10.0,1440.0,Lucknow
T0246,CUST038,2026-06-26,Jeans,Fashion,1,1800,,,Kolkata
T0247,CUST057,2026-04-22,Jeans,Fashion,1,1800,20.0,1440.0,Bengaluru
T0248,CUST036,2026-06-21,Laptop,Electronics,1,65000,0.0,65000.0,Kolkata
T0249,CUST052,2026-02-06,Smartphone,Electronics,1,28000,0.0,28000.0,Delhi
T0250,CUST057,2026-04-03,Sneakers,Fashion,1,3200,10.0,2880.0,Bengaluru
T0251,CUST050,2026-04-05,Backpack,Accessories,4,1600,,,Lucknow
T0252,CUST048,2026-04-04,T-Shirt,Fashion,2,900,20.0,1440.0,Pune
T0253,CUST051,2026-02-17,Laptop,Electronics,1,65000,0.0,65000.0,Jaipur
T0254,CUST064,2026-03-08,Headphones,Electronics,1,2500,10.0,2250.0,Bengaluru
T0255,CUST058,2026-02-21,Sneakers,Fashion,1,3200,15.0,2720.0,Jaipur
T0256,CUST016,2026-01-23,Laptop,Electronics,1,65000,15.0,55250.0,Kolkata
T0257,CUST041,2026-03-16,Watch,Accessories,2,5500,20.0,8800.0,Mumbai
T0258,CUST039,2026-05-11,Smartphone,Electronics,3,28000,10.0,75600.0,Delhi
T0259,CUST029,2026-05-07,Backpack,Accessories,1,1600,5.0,1520.0,Pune
T0260,CUST004,2026-02-03,Headphones,Electronics,1,2500,20.0,2000.0,Patna
T0261,CUST012,2026-05-15,Smartphone,Electronics,1,28000,15.0,23800.0,Kolkata
T0262,CUST053,2026-03-23,Headphones,Electronics,2,2500,5.0,4750.0,Bengaluru
T0263,CUST010,2026-05-22,Sneakers,Fashion,1,3200,5.0,3040.0,Lucknow
T0264,CUST024,2026-05-13,Backpack,Accessories,2,1600,0.0,3200.0,Lucknow
T0265,CUST020,2026-03-30,Sneakers,Fashion,1,3200,5.0,3040.0,Delhi
T0266,CUST067,2026-06-12,Jeans,Fashion,2,1800,5.0,3420.0,Delhi
T0267,CUST071,2026-01-24,Sneakers,Fashion,1,3200,20.0,2560.0,Patna
T0268,CUST065,2026-06-18,Coffee Maker,Home,2,4500,5.0,8550.0,Mumbai
T0269,CUST044,2026-01-12,Laptop,Electronics,2,65000,0.0,130000.0,Bengaluru
T0270,CUST074,2026-06-08,Sneakers,Fashion,1,3200,15.0,2720.0,Jaipur
T0271,CUST004,2026-05-04,Headphones,Electronics,1,2500,10.0,2250.0,Patna
T0272,CUST032,2026-01-19,Jeans,Fashion,2,1800,15.0,3060.0,Mumbai
T0273,CUST008,2026-03-29,Watch,Accessories,1,5500,5.0,5225.0,Mumbai
T0274,CUST019,2026-02-03,Sneakers,Fashion,1,3200,15.0,2720.0,Bengaluru
T0275,CUST048,2026-02-01,T-Shirt,Fashion,2,900,15.0,1530.0,Pune
T0276,CUST035,2026-04-09,Laptop,Electronics,1,65000,10.0,58500.0,Patna
T0277,CUST054,2026-05-28,Smartphone,Electronics,1,28000,10.0,25200.0,Patna
T0278,CUST041,2026-05-08,Smartphone,Electronics,1,28000,15.0,23800.0,Mumbai
T0279,CUST040,2026-04-28,Jeans,Fashion,1,1800,20.0,1440.0,Bengaluru
T0280,CUST031,2026-05-07,Laptop,Electronics,1,65000,10.0,58500.0,Patna
T0281,CUST061,2026-02-04,Laptop,Electronics,1,65000,15.0,55250.0,Jaipur
T0282,CUST034,2026-04-13,Sneakers,Fashion,3,3200,0.0,9600.0,Jaipur
T0283,CUST007,2026-01-19,Smartphone,Electronics,2,28000,10.0,50400.0,Kolkata
T0284,CUST050,2026-06-24,Jeans,Fashion,2,1800,20.0,2880.0,Lucknow
T0285,CUST016,2026-05-23,Headphones,Electronics,1,2500,10.0,2250.0,Kolkata
T0286,CUST047,2026-01-11,Office Chair,Home,2,8500,20.0,13600.0,Mumbai
T0287,CUST006,2026-04-27,Backpack,Accessories,1,1600,20.0,1280.0,
T0288,CUST020,2026-03-23,Jeans,Fashion,2,1800,20.0,2880.0,Delhi
T0289,CUST021,2026-03-28,Jeans,Fashion,1,1800,20.0,1440.0,Bengaluru
T0290,CUST065,2026-01-05,Office Chair,Home,2,8500,15.0,14450.0,Mumbai
T0291,CUST048,2026-03-20,Jeans,Fashion,2,1800,20.0,2880.0,Pune
T0292,CUST004,2026-05-28,Smartphone,Electronics,1,28000,20.0,22400.0,Patna
T0293,CUST030,2026-06-11,Backpack,Accessories,1,1600,20.0,1280.0,Mumbai
T0294,CUST049,2026-06-29,Laptop,Electronics,1,65000,20.0,52000.0,Bengaluru
T0295,CUST015,2026-04-16,Headphones,Electronics,1,2500,5.0,2375.0,Delhi
T0296,CUST027,2026-06-30,Backpack,Accessories,1,1600,0.0,1600.0,Jaipur
T0297,CUST018,2026-05-15,Sneakers,Fashion,2,3200,15.0,5440.0,Lucknow
T0298,CUST049,2026-04-01,Office Chair,Home,1,8500,20.0,6800.0,Bengaluru
T0299,CUST034,2026-05-23,Coffee Maker,Home,3,4500,10.0,12150.0,Jaipur
T0300,CUST039,2026-06-30,Jeans,Fashion,2,1800,10.0,3240.0,Delhi
